2026-01-15 18:55:14 | DEBUG    | Logging initialized. Logs saved to: /home/kalebtata/Projects/lock_me_out/outputs/app.log
2026-01-15 18:55:14 | INFO     | Initializing application components...
2026-01-15 18:55:16 | INFO     | Starting Lock Me Out...
2026-01-15 19:01:11 | DEBUG    | Logging initialized. Logs saved to: /home/kalebtata/Projects/lock_me_out/outputs/app.log
2026-01-15 19:01:11 | INFO     | Initializing application components...
2026-01-15 19:01:11 | DEBUG    | Checking hardware connections...
2026-01-15 19:01:11 | INFO     | Starting Lock Me Out...
2026-01-15 19:03:17 | DEBUG    | Logging initialized. Logs saved to: /home/kalebtata/Projects/lock_me_out/outputs/app.log
2026-01-15 19:03:17 | INFO     | Initializing application components...
2026-01-15 19:03:19 | INFO     | Starting Lock Me Out...
2026-01-15 19:11:56 | DEBUG    | Logging initialized. Logs saved to: /home/kalebtata/Projects/lock_me_out/outputs/app.log
2026-01-15 19:12:15 | INFO     | Starting LockOutManager: Delay=1800s, Duration=120s
2026-01-15 19:12:15 | INFO     | Waiting for initial delay...
2026-01-15 19:16:43 | DEBUG    | Logging initialized. Logs saved to: /home/kalebtata/Projects/lock_me_out/outputs/app.log
2026-01-15 19:16:50 | INFO     | Starting LockOutManager: Delay=300s, Duration=60s
2026-01-15 19:16:50 | INFO     | Waiting for initial delay...
2026-01-15 19:18:07 | INFO     | Stopping LockOutManager...
2026-01-15 19:18:08 | INFO     | LockOutManager stopped.
2026-01-15 19:18:29 | DEBUG    | Logging initialized. Logs saved to: /home/kalebtata/Projects/lock_me_out/outputs/app.log
2026-01-15 19:22:29 | DEBUG    | Logging initialized. Logs saved to: /home/kalebtata/Projects/lock_me_out/outputs/app.log
2026-01-15 19:22:40 | INFO     | Starting LockOutManager: Delay=60s, Duration=60s
2026-01-15 19:22:40 | INFO     | Waiting for initial delay...
2026-01-15 19:23:01 | DEBUG    | Logging initialized. Logs saved to: /home/kalebtata/Projects/lock_me_out/outputs/app.log
2026-01-15 19:23:06 | INFO     | Starting LockOutManager: Delay=60s, Duration=60s
2026-01-15 19:23:06 | INFO     | Waiting for initial delay...
2026-01-15 19:24:06 | INFO     | Initial delay complete. Initiating lockout.
